"","62年","63年","元年","2年","3年","4年","5年","6年","7年","8年","9年","10年"
"％一秒量／1群","","","","","","","","","","","",""
"％一秒量／2群","","","","","","","","","","","",""
"％一秒率／1群","","","","","","","","","","","",""
"％一秒率／2群","","","","","","","","","","","",""
"％V25／1群","","","","","","","","","","","",""
"％V25／2群","","","","","","","","","","","",""
