"","進捗率","セルフ率"
"（合計）","",""
"北海道","95.5","34.2"
"青森県","99.7","0.6"
"岩手県","99.3","6.7"
"宮城県","97.9","25.6"
"秋田県","99.5","0.4"
"山形県","99.8","0.5"
"福島県","97.7","17.9"
"茨城県","98.9","2.1"
"栃木県","99.9","4"
"群馬県","99.8","2.9"
"埼玉県","97.3","16.7"
"千葉県","98.1","17"
"東京都","95.7","23.3"
"神奈川県","95.5","48.7"
"新潟県","99.1","1.2"
"富山県","98.3","1.8"
"石川県","98.3","0.5"
"福井県","99.9","0.8"
"山梨県","99.5","2.8"
"長野県","99.3","0.2"
"岐阜県","99.7","1.3"
"静岡県","96.9","8.7"
"愛知県","99.5","16.6"
"三重県","98.2","9.1"
"滋賀県","92.2","11.5"
"京都府","87.9","21.9"
"大阪府","97.8","43.7"
"兵庫県","88.1","22.9"
"奈良県","94.9","11.6"
"和歌山県","99.9","4.6"
"鳥取県","95.1","2.8"
"島根県","100","0.6"
"岡山県","97.6","27.9"
"広島県","99.1","18.8"
"山口県","99.1","0.5"
"徳島県","100","0.3"
"香川県","99.9","0.3"
"愛媛県","99.4","7"
"高知県","88.6","4.3"
"福岡県","96.5","10.7"
"佐賀県","99.9","15.8"
"長崎県","99.1","4.3"
"熊本県","98.7","1.9"
"大分県","99.7","0.5"
"宮崎県","99.9","0.5"
"鹿児島県","99.9","0.5"
"沖縄県","98.8","0.7"
