"","人数","%"
"総数","1596","100.0"
"認可保育所","1056","66.2"
"認証保育所","233","14.6"
"幼稚園","144","9.0"
"認定こども園","33","2.1"
"上記以外の保育施設","81","5.1"
"その他","49","3.1"
"無回答","35",""
