"","男女計／件数","男女計／％","男性／件数","男性／％","女性／件数","女性／％"
"経済的に余裕がなかった","11","91.7","4","100.0","7","87.5"
"家の手伝いやアルバイトなどで時間がなかった","4","33.3","1","25.0","3","37.5"
"その他","1","8.3","","","1","12.5"
