"","11年(千人)","12年(千人)","13年(千人)","14年(千人)","15年(千人)","16年(千人)","17年(千人)","18年(千人)","19年(千人)","20年(千人)"
"(推計)一般労働者数","5437","5416","5265","5045","4989","5160","5047","5094","5179","5226"
"(推計)パートタイム労働者数","993","923","1041","1195","1129","1225","1297","1300","1311","1324"
"一般労働者総実労働数","1924","1942","1948","1913","1902","1952","1943","1966","1980","1969"
"一般労働者所定内労働時間","1771","1786","1788","1762","1747","1781","1769","1782","1792","1787"
"パートタイム労働者総実労働時間","1054","1110","1122","1078","1064","1100","1079","1096","1155","1139"
"パートタイム労働者所定内労働時間","1027","1079","1075","1045","1024","1055","1026","1045","1103","1088"
