"","正規の職員・従業員(％)","会社・団体等の役員(％)","自営業(％)","パート・アルバイト(％)","派遣社員・契約社員・嘱託等(％)","無回答(％)"
"父／24年度(59人)","64.4","10.2","16.9","5.1","1.7","1.7"
"父／19年度(64人)","60.9","9.4","25.0","","4.7",""
"母／24年度(518人)","36.5","0.8","5.6","41.5","14.5","1.2"
"母／19年度(463人)","37.6","1.9","6.0","44.3","8.6","1.5"
