"","持ち家(一戸建て)(％)","持ち家(分譲マンション等)(％)","民間賃貸住宅(一戸建て)(％)","民間賃貸住宅(共同住宅)(％)","都等の公営賃貸住宅(％)","その他・無回答(％)"
"親と子","19.8","16.1","2.5","48.2","5.5","8.0"
"祖父母と親と子","54.0","12.7","5.6","15.9","2.4","9.5"
