"","小学 5 年生(％)","中学 2 年生(％)","16‐17 歳(％)"
"生活困難層","20.5","21.6","24.0"
"生活困難層／困窮層","5.7","7.1","6.9"
"生活困難層／周辺層","14.9","14.5","17.1"
"一般層","79.5","78.4","76.0"
