"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"男性女性保護者とも吸わない","158","52.3","170","54.0"
"男性女性保護者とも吸う","36","11.9","50","15.9"
"男性保護者のみ吸う","80","26.5","61","19.4"
"女性保護者のみ吸う","18","6.0","25","7.9"
"わからない","10","3.3","6","1.9"
"無記入","","0.0","3","0.9"
"合計","302","100.0","315","100.0"
