"区分","総数","１度（最重度）","２度（重度）","３度（中度）","４度（軽度）"
"総数(人)","77633","2817","19388","20309","35119"
"構成比(％)","100","3.6","25","26.2","45.2"
"児/18歳未満(人)","16231","303","2806","4120","9002"
"者/18歳以上(人)","61402","2514","16582","16189","26117"
