"","給食提供（捕食・おやつ提供を含む）(%)","給食提供無・補食／おやつ提供(%)","食物提供無(%)","無回答(%)"
"全施設（n=5348）","62.4","24.3","12.6",""
"認可保育所＊（n=1588）","99.2","","",""
"認証保育所＊（n=527）","99.8","","",""
"認定こども園＊（n=95）","97.9","","",""
"幼稚園＊（n=666）","57.2","22.1","20.1",""
"ベビーホテル（n=331）","74.3","7.6","17.2",""
"家庭的保育（n=596）","23.8","11.9","62.1",""
"学童保育（n=1169）","10.4","85.2","3.6",""
"上記以外の施設（n=376）","66.8","14.1","17.8",""
"＊前回調査施設 （再掲）（n=2876）","89.5","5.3","4.7","" 
