"","男女計／件数","男女計／％","男性／件数","男性／％","女性／件数","女性／％"
"1利用しようとは思わなった","63","69.2","30","73.2","33","66.0"
"2利用したかったが利用できなかった","12","13.2","4","9.8","8","16.0"
"3その他","10","11.0","5","12.2","5","10.0"
"無回答","6","6.6","2","4.9","4","8.0"
"合計","91","100.0","41","100.0","50","100.0"
