"","現在、面会交流を行っている(%)","過去に面会交流を行ったことがあるが、現在は行っていない(%)","面会交流を行ったことがない(%)","無回答(%)"
"養育費の取り決めをしている","52.5","18.9","28.1","0.5"
"養育費の取り決めをしていない","27.9","18.1","48.2","5.8"
