"","5回くらい(%)","10回くらい(%)","20回くらい(%)","30回くらい(%)","無回答(%)"
"全体","14.1","52.9","27.3","3.2","2.6"
"男","17.4","56.0","22.7","1.9","1.9"
"女","12.4","52.7","29.0","3.5","2.4"
