"(単位：％）","61歳","62歳","63歳","64歳","65歳","66歳","67歳","68歳","69歳","70歳以降"
"正社員として働く","","","","","","","","","",""
"契約社員や嘱託として働く","","","","","","","","","",""
"短時間勤務で働く","","","","","","","","","",""
"ボランティア活動をする","","","","","","","","","",""
"仕事や社会的活動はしない","","","","","","","","","",""
