"","調定額(円)","収納額(円)","還付未済額(別掲)(円)","不納欠損額(円)","未収額(円)","居所不明者分調定額(円)","収納率(%)"
"現年分","594241017236","550176368465","659135638","92982287","43971666484","211059783","92.62"
"滞繰分","96530624521","28184961281","47150082","20592626881","47753036359","253454818","29.27"
"計","690771641757","578361329746","706285720","20685609168","91724702843","464514601","83.78"
