"","昭和52年","昭和57年","昭和62年","平成4年","平成9年","平成14年","平成17年","平成22年"
"5～9年","1.93","1.95","1.97","1.84","1.75","1.71","1.63","1.60"
"10～14年","2.17","2.16","2.16","2.19","2.10","2.04","1.98","1.88"
"15～19年","2.19","2.23","2.19","2.21","2.21","2.23","2.09","1.96"
"20年以上","2.30","2.24","2.30","2.21","2.24","2.32","2.30","2.22"
