"","総数","0歳児","1歳児","2歳児","3歳児","4歳児以上"
"利用児童数・4月","4591","786","1659","1394","479","273"
"利用児童数・4月／A型","3571","540","1227","1052","479","273"
"利用児童数・4月／B型","1020","246","432","342","",""
"利用児童数・10月","6874","2022","2188","1739","610","315"
"利用児童数・10月／A型","5419","1453","1677","1364","610","315"
"利用児童数・10月／B型","1455","569","511","375","",""
