"","事業所名","平成27年度／定員","平成27年度／対象者延人数","平成27年度／工賃支払総額","平成27年度／工賃平均額"
"1","江戸川区立福祉作業所","95","766","9357804","12216.5"
"2","菜の花作業所","30","344","5875510","17080.0"
"3","新宿第二あした作業所","20","205","4706468","22958.4"
"4","新宿あした作業所","20","253","5795298","22906.3"
"5","新宿区立障害者福祉センター","14","153","2077917","13581.2"
"6","ユニーク工芸","33","416","3801900","9139.2"
"7","ゆめ工房","30","323","1639490","5075.8"
"8","ゆめ工房北砂","25","246","1594503","6481.7"
"9","第三あすなろ作業所","60","681","7159880","10513.8"
"10","糀谷作業所","24","326","6137099","18825.5"
"11","P.プロゼクト","20","333","6388229","19183.9"
"12","社会就労センターパイ焼き窯","28","484","6720325","13885.0"
"13","希望の家","60","599","15406521","25720.4"
"14","ほっとすぺーす関町","40","476","3546832","7451.3"
"15","HotJob","20","308","1821454","5913.8"
"16","ほっとすぺーす練馬","25","333","2420688","7269.3"
"17","ワークショップ石神井","25","391","3436207","8788.3"
"18","やまびこ第二作業所","30","348","5713145","16417.1"
"19","べるはうす","20","310","2161844","6973.7"
"20","ねりま事業所","34","406","7423894","18285.5"
"21","チャレンジャー","19","246","19814350","80546.1"
"22","武蔵境ワーキングセンター","14","200","11068700","55343.5"
"23","ワークイン関前","19","240","9904050","41266.9"
"24","巣立ち工房","20","385","1983010","5150.7"
"25","巣立ち風","30","735","3067600","4173.6"
"26","ワークセンターいくせい工房","20","276","5666300","20530.1"
"27","シェア","30","459","5042038","10984.8"
"28","こひつじ舎","50","959","7820150","8154.5"
"29","調布くすの木作業所","35","718","4880231","6797.0"
"30","オアシス・プラス","20","301","3237714","10756.5"
"31","ワークショップさかえ","20","315","1919900","6094.9"
"32","あきる野福祉工房","20","203","1061077","5227.0"
"33","たんぽぽ","34","309","2114653","6843.5"
"34","おだまき","20","384","2131575","5551.0"
"35","就労支援施設ビオラ","20","333","8658109","26000.3"
"36","さわやかワーク中央","20","260","6085800","23406.9"
"37","オフィスクローバー","35","622","6687302","10751.3"
"38","銀杏企画2","24","401","3305154","8242.3"
"39","銀杏企画","33","465","5260563","11313.0"
"40","銀杏企画三丁目","17","427","2712382","6352.2"
"41","あおぞら作業所","20","336","5936481","17668.1"
"42","つくりっこの家クラブハウス","35","434","7601937","17516.0"
"43","ベーカリーショップどんぐり","40","460","9946760","21623.4"
"44","ピープルファースト東久留米","12","133","720000","5413.5"
"45","豊芯会ジョブトレーニング事業所","15","256","5968389","23314.0"
"46","樹林館","20","310","3232332","10426.9"
"47","リバーサイドつつじ","20","261","5566283","21326.8"
"48","特定非営利活動法人工房ラピール","20","197","2508000","12731.0"
"49","風の子会高浜生活実習所","10","84","306100","3644.0"
"50","新宿西共同作業所・ラバンス","25","518","7551635","14578.4"
"51","工房わかぎり","20","276","3228900","11698.9"
"52","のびのび作業所エコ","14","96","2963600","30870.8"
"53","サンアップ","20","267","6919082","25914.2"
"54","沙らの木","20","292","9340521","31988.1"
"55","喫茶室パイン作業所1","20","336","5302416","15781.0"
"56","藍工房","40","543","5822462","10722.8"
"57","大原福祉作業所","26","312","4612156","14782.6"
"58","上町福祉作業所","40","418","8708674","20834.1"
"59","用賀福祉作業所","22","251","3559500","14181.3"
"60","のぞみ園","50","600","21225900","35376.5"
"61","ワークランド・フレンドパーク","35","273","3671336","13448.1"
"62","Ｓ．Ｕストリート","35","320","4337702","13555.3"
"63","共同作業所オーク","20","240","5967840","24866.0"
"64","荒川ひまわり","30","421","3924853","9322.7"
"65","あかねの会就労支援室","46","386","2577622","6677.8"
"66","足立区精神障がい者自立支援センター","25","385","8998955","23373.9"
"67","すみれ福祉作業所","20","240","3621320","15088.8"
"68","江戸川かもめ第一事業所","40","401","5054450","12604.6"
"69","江戸川かもめ第二事業所","40","474","5694100","12012.9"
"70","江戸川かもめ第三事業所","30","269","3283946","12208.0"
"71","エルムワークメイト","36","391","7753846","19830.8"
"72","柿の木カンパニー","20","502","6757575","13461.3"
"73","三鷹ひまわり第一共同作業所","30","491","5034096","10252.7"
"74","三鷹ひまわり第二共同作業所","20","388","2649370","6828.3"
"75","三鷹ひまわり第三共同作業所","20","374","1512043","4042.9"
"76","むうぷ舎新川","20","445","4932730","11084.8"
"77","ワークセンターゆめ","20","255","7291420","28593.8"
"78","むうぷ舎中原","28","507","7290160","14379.0"
"79","食茶房むうぷ","20","435","5037680","11580.9"
"80","町田ゆめ工房","10","135","950200","7038.5"
"81","アールフィールド","30","333","15923820","47819.3"
"82","ＮＰＯ法人チャレンジャー支援機構","14","164","4248180","25903.5"
"83","小平第二みどり作業所","40","503","6399350","12722.4"
"84","ワークセンター夢の樹","30","465","5454190","11729.4"
"85","うめの木作業所","20","308","8567700","27817.2"
"86","くるめパソコン作業所","24","516","4466649","8656.3"
"87","えのき園","20","372","7013600","18853.8"
"88","ひまわりハウス","20","281","3537475","12588.9"
"89","ファロ","20","421","3790626","9003.9"
"90","わらべあきる野事業所","10","108","2241190","20751.8"
"91","就労センター『風』","20","334","5746520","17205.1"
"92","サンフラワーワーキング","20","306","2413130","7886.0"
"93","ソフトパワー","20","241","1537295","6378.8"
"94","白梅福祉作業所","40","498","6441910","12935.6"
"95","リブレ","40","431","6515537","15117.3"
"96","パルテ","40","796","18309545","23001.9"
"97","共同作業所ホサナショップ","25","365","3692760","10117.2"
"98","アリス","20","248","1230738","4962.7"
"99","第２あすなろの家","20","291","5025305","17269.1"
"100","あすなろの家","20","308","7158692","23242.5"
"101","コットンハウス","12","392","2116975","5400.4"
"102","フラワー工房さくら","20","291","4344280","14928.8"
"103","ゆめ工房さくら","18","202","3275747","16216.6"
"104","ざしきわらし","20","371","5110387","13774.6"
"105","ちぐさ企画","24","419","3447730","8228.5"
"106","杉並・あしたの会福祉作業所","60","737","8890009","12062.4"
"107","ひあたり野津田","30","449","1632220","3635.2"
"108","あん工房","19","254","2954197","11630.7"
"109","けやき亭","20","264","1717519","6505.8"
"110","アゲイン","40","563","3837150","6815.5"
"111","ブレス","25","326","1885958","5785.1"
"112","なごみの里就労継続支援Ｂ型","40","480","6204346","12925.7"
"113","コラボたまワークセンターつくし","30","289","1636796","5663.7"
"114","こまえ工房もえぎ","14","190","2435740","12819.7"
"115","杉の子城山","10","115","2249530","19561.1"
"116","杉の子大和","10","115","2301180","20010.3"
"117","杉の子弥生","10","88","2109685","23973.7"
"118","就労センター「街」","20","270","4917230","18212.0"
"119","えごのみ","20","270","1398156","5178.4"
"120","若竹作業所","60","634","6897855","10879.9"
"121","みどりの森","31","399","5206393","13048.6"
"122","ギャロップ","20","300","3566545","11888.5"
"123","わかまつ共同作業所","20","322","3800814","11803.8"
"124","清瀬どんぐりの家","39","709","8915340","12574.5"
"125","レスポワール工房","19","314","2623685","8355.7"
"126","童里夢工房","19","386","4491636","11636.4"
"127","梅の木の家共同作業所","25","312","3148104","10090.1"
"128","かもめ第一工房","25","462","4797135","10383.4"
"129","ねりま第二事業所","38","398","5427879","13637.9"
"130","Ｎａｖｉｏけやき","14","308","4504226","14624.1"
"131","立川こぶし福祉作業所","20","196","2342940","11953.8"
"132","藍作業所","20","164","2347161","14312.0"
"133","就労支援事業所メイ","40","444","3152652","7100.6"
"134","ゆい企画","40","613","5280340","8613.9"
"135","ワークささはた","42","487","15869575","32586.4"
"136","ウェルネスアンドワークス","20","211","7723880","36606.1"
"137","かれん","20","265","4162401","15707.2"
"138","すみだ花工房","36","322","2040478","6336.9"
"139","隅田作業所","20","387","1874870","4844.6"
"140","特定非営利活動法人どんぐりパン","18","190","8216201","43243.2"
"141","むつみ工房","20","330","1634972","4954.5"
"142","ワークショップモア","14","148","2130688","14396.5"
"143","やまぼうし平山台","15","165","4012520","24318.3"
"144","ゆうあい製作所","29","301","4109575","13653.1"
"145","ラ・メール","20","207","4528180","21875.3"
"146","にゃんこの館","20","258","1624259","6295.6"
"147","サンワーク田無","20","310","3515972","11341.8"
"148","秋川虹の家","20","238","2182620","9170.7"
"149","いちょう工房そら","20","225","2849875","12666.1"
"150","いちょう工房ゆぎ","10","144","2549700","17706.3"
"151","福祉作業所ふれんど","20","293","2656592","9066.9"
"152","国分寺市障害者センター","10","237","2657135","11211.5"
"153","就労支援事業所コイノニア","28","382","5747519","15045.9"
"154","就労支援事業所ＮＯＡＨ","20","428","1939834","4532.3"
"155","こらーるカフェ","20","126","695330","5518.0"
"156","つばさ工房","20","325","2125426","6539.8"
"157","協立作業所","20","322","1294280","4019.5"
"158","綾瀬スマイル工房","20","308","1763762","5726.5"
"159","ボンサンス・千寿","20","326","4254184","13049.6"
"160","ワークセンターまことくらぶ","20","205","2180905","10638.6"
"161","就労継続支援（Ｂ型）事業所ワークショップＭＥＷ","19","422","1530880","3627.7"
"162","クラフト工房ＬａＭａｎｏ","20","312","10177151","32619.1"
"163","リズム工房","33","385","2462034","6394.9"
"164","社会福祉法人稲城市社会福祉協議会エイトピア工房","40","476","3221560","6768.0"
"165","すのうべる","20","275","1182991","4301.8"
"166","福祉作業所天成舎","40","434","6068770","13983.3"
"167","さくらの園","45","630","12600675","20001.1"
"168","障害者就労支援センターどんまい福祉工房","20","239","3141340","13143.7"
"169","自立支援塾クリード新町","20","220","2875300","13069.5"
"170","福祉作業所ひばり園","70","799","26200118","32791.1"
"171","コロニー中野","50","712","18764322","26354.4"
"172","日の出リハビリ","40","467","32015207","68555.0"
"173","ワークスタディー日の出","28","361","20659011","57227.2"
"174","光の家栄光園","10","108","2843320","26327.0"
"175","小金井生活実習所","10","144","937150","6508.0"
"176","しいの実社","10","173","3780490","21852.5"
"177","工房ヴイ","12","156","2128455","13643.9"
"178","ひかり作業所","12","132","1816080","13758.2"
"179","希望園（のぞみえん）","14","201","4848290","24120.8"
"180","ワークステーション立川","38","635","38868648","61210.5"
"181","阿佐谷福祉工房","15","197","4646520","23586.4"
"182","奥戸福祉館","30","343","8776721","25588.1"
"183","コラボいなぎいなぎワークセンター","29","340","5128721","15084.5"
"184","工房夢ふうせん","20","243","4458010","18345.7"
"185","いけぶくろ茜の里","20","251","2443191","9733.8"
"186","かすみの里","15","204","2066900","10131.9"
"187","しごと場大好き","20","300","7235514","24118.4"
"188","葦の会作業所","20","228","4864300","21334.6"
"189","ひのき工房","28","359","8151221","22705.4"
"190","水元そよかぜ園","20","228","5034234","22080.0"
"191","八王子障害者総合支援センターとことこ","14","213","6650929","31225.0"
"192","さわやかワークセンター","34","444","19907910","44837.6"
"193","アビーム","20","354","3702087","10457.9"
"194","かたくりの家","21","165","3157236","19134.8"
"195","広域地域ケアセンターバオバブ","23","276","7076480","25639.4"
"196","あおいとり日野","10","155","3348100","21600.6"
"197","泉の家","25","241","3449687","14314.1"
"198","就労・生活支援センター飛鳥晴山苑","30","292","2773700","9499.0"
"199","わくわく祖師谷","40","477","7720440","16185.4"
"200","希望の苑","25","288","4624030","16055.7"
"201","ワークショップやまどり","35","373","5044934","13525.0"
"202","なないろ","45","429","5827552","13584.0"
"203","ワークセンターつばさ","35","339","3352525","9889.5"
"204","第１リサイクル洗びんセンター","54","605","26157769","43236.0"
"205","町田おかしの家","20","216","6097593","28229.6"
"206","未来工房にじ","30","300","2835260","9450.9"
"207","綾瀬ひまわり園","35","397","6804700","17140.3"
"208","竹の塚ひまわり園","38","397","5373500","13535.3"
"209","コロニー東村山","55","785","23947282","30506.1"
"210","世田谷更生館","54","634","17275253","27248.0"
"211","さつき","40","603","12552332","20816.5"
"212","あけぼの作業所","42","528","8526115","16147.9"
"213","しょうぶエバンズ","46","478","8126950","17002.0"
"214","青梅福祉作業所","48","642","6088906","9484.3"
"215","トーコロ青葉ワークセンター","87","1421","25399605","17874.5"
"216","武蔵野福祉作業所","64","704","9093180","12916.4"
"217","八王子福祉作業所","50","715","9629090","13467.3"
"218","第二しいのき学園","60","935","14814100","15844.0"
"219","福祉事業センター","65","822","29063400","35356.9"
"220","世田谷区立岡本福祉作業ホーム","23","273","2929905","10732.3"
"221","品川区立西大井福祉園","15","224","3366500","15029.0"
"222","中央区立知的障害者生活支援施設レインボーハウス明石","20","213","3859950","18121.8"
"223","千代田区立障害者就労支援施設","29","312","5631550","18049.8"
"224","世田谷区立下馬福祉工房","35","405","7992766","19735.2"
"225","つばさ","33","360","5267850","14632.9"
"226","世田谷区立砧工房","37","386","16279320","42174.4"
"227","足立区大谷田就労支援センター","35","316","13189863","41740.1"
"228","神明福祉作業所","30","369","8941050","24230.5"
"229","中央区立福祉センター作業室","35","203","3488109","17182.8"
"230","谷在家福祉作業所","20","194","4017610","20709.3"
"231","目黒区立かみよん工房","40","400","10457402","26143.5"
"232","目黒区立下目黒福祉工房","40","469","4706045","10034.2"
"233","江戸川区立希望の家","34","423","3760043","8889.0"
"234","江東区第２あすなろ作業所","42","466","4835297","10376.2"
"235","世田谷区立世田谷福祉作業所","45","573","6971401","12166.5"
"236","世田谷区立玉川福祉作業所","58","556","10934253","19665.9"
"237","豊島区立駒込福祉作業所","45","510","6278351","12310.5"
"238","武蔵村山市立のぞみ福祉園","45","568","4688084","8253.7"
"239","練馬区立北町福祉作業所","47","530","6200106","11698.3"
"240","荒川区立荒川福祉作業所","48","481","3188572","6629.0"
"241","練馬区立かたくり福祉作業所","63","666","7274705","10923.0"
"242","江東区あすなろ作業所","60","682","11281200","16541.3"
"243","世田谷区立烏山福祉作業所","66","660","5815381","8811.2"
"244","中野区中野福祉作業所","60","564","7602934","13480.4"
"245","町田市大賀藕絲館","60","788","8695900","11035.4"
"246","町田市美術工芸館","60","727","6550500","9010.3"
"247","豊島区立目白福祉作業所","60","623","6970615","11188.8"
"248","墨田福祉作業所","60","672","11687629","17392.3"
"249","すみだふれあいセンター福祉作業所","60","644","9066132","14077.8"
"250","小岩作業所","36","396","4875565","12312.0"
"251","魔法陣","20","212","1601880","7556.0"
"252","杉並いずみ第二","35","427","4156255","9733.6"
"253","杉並いずみ第一","40","509","4561727","8962.1"
"254","杉の子丸山","15","150","6653330","44355.5"
"255","福祉レストランフレンズ","20","282","7848505","27831.6"
"256","あらいと","20","383","1185232","3094.6"
"257","就労支援施設ウィズユー","18","276","3510331","12718.6"
"258","ワーク＆ショップ<はらっぱ>","20","322","2767090","8593.4"
"259","萌作業所","23","214","449057","2098.4"
"260","SUN","14","168","2918844","17374.1"
"261","第２あとりえトントン","20","284","2267376","7983.7"
"262","あとりえトントン","20","313","4865312","15544.1"
"263","たいとう福祉作業所","20","228","6629110","29075.0"
"264","たいとう第二福祉作業所","20","252","7094900","28154.4"
"265","ワークセンターひかわ","20","201","2532612","12600.1"
"266","アトリエほっと・しかはま","20","294","1997077","6792.8"
"267","カサデオリーバ","20","232","3348145","14431.7"
"268","食工房ぱる","20","300","7568660","25228.9"
"269","Sora","20","286","6753713","23614.4"
"270","わかば第一事業所","35","336","4182470","12447.8"
"271","ワークハウス荒川","30","213","3716035","17446.2"
"272","瑞穂町福祉作業所","30","350","5550269","15857.9"
"273","まあぶる","20","236","3977942","16855.7"
"274","たなし工房","20","261","798164","3058.1"
"275","プロジェクツけやきのもり","20","174","1656455","9519.9"
"276","かもめ第二工房","20","324","3069600","9474.1"
"277","かもめ第三工房","20","393","5540170","14097.1"
"278","耕房“光”","20","294","2657722","9039.9"
"279","渋谷区立新橋作業所","25","211","8346001","39554.5"
"280","西府いこいプラザ","20","379","3244098","8559.6"
"281","夢の樹みどり","40","602","8765400","14560.5"
"282","東村山生活実習所","10","152","1601720","10537.6"
"283","ピアワーク・オアシス","20","439","5309621","12094.8"
"284","グループＧ","12","198","1950040","9848.7"
"285","フードコミュニティ目黒","14","137","4658690","34005.0"
"286","しらゆり福祉作業所","25","249","2413450","9692.6"
"287","えいぶる","35","627","7815655","12465.2"
"288","みしょう","20","140","1307450","9338.9"
"289","ワーク・イン・あすか","20","325","1838392","5656.6"
"290","第二ワーク・イン・あすか","20","196","2033580","10375.4"
"291","地球儀","20","377","2004821","5317.8"
"292","夢来","30","287","1548092","5394.0"
"293","パイ焼き茶房","20","375","5866677","15644.5"
"294","ＪＨＣ赤塚","20","254","2496850","9830.1"
"295","ＪＨＣ大山","20","298","2212474","7424.4"
"296","ＪＨＣ秋桜","20","255","4014810","15744.4"
"297","ＪＨＣ志村","20","292","1807630","6190.5"
"298","たいとう第三福祉作業所","20","240","10709280","44622.0"
"299","たいとう第四福祉作業所","20","252","9752070","38698.7"
"300","クレヨンハウス","20","205","1242693","6061.9"
"301","就労日の出舎","20","324","7817758","24128.9"
"302","共同作業所セサミ萩","20","281","1182255","4207.3"
"303","ＰＣ工房","54","678","9505295","14019.6"
"304","練馬区立大泉福祉作業所","59","650","4094450","6299.2"
"305","大田区立はぎなか園","70","548","9537100","17403.5"
"306","ともしび工房","20","313","9619158","30732.1"
"307","花畑共同作業所","10","108","1713426","15865.1"
"308","あしたば作業所","20","319","3957115","12404.7"
"309","青梅市自立センター就労支援事業所","74","870","15724429","18074.1"
"310","ビーイングスペース萌","20","337","3055188","9065.8"
"311","ぐりーんぴーす工房","20","193","5990450","31038.6"
"312","食工房ゆいのもり","34","452","3701450","8189.0"
"313","希望の里","20","243","3960611","16298.8"
"314","ふらっとなかの","20","239","2237990","9364.0"
"315","東大和市立みのり福祉園","36","344","3648552","10606.3"
"316","はあと・ふる・えりあ","20","274","3674663","13411.2"
"317","新宿区立新宿福祉作業所","75","842","11140450","13230.9"
"318","新宿区立高田馬場福祉作業所","60","650","9838709","15136.5"
"319","調布市知的障害者援護施設すまいる","16","184","5809432","31573.0"
"320","羽村市福祉センター","35","420","6425046","15297.7"
"321","あかつき授産所","40","478","12239894","25606.5"
"322","はなさく第二共同作業所","20","201","6505880","32367.6"
"323","西麻布作業所","33","470","10161771","21620.8"
"324","みなと工房","20","411","6812862","16576.3"
"325","東京ワークショップ","40","436","43048520","98735.1"
"326","パイオニア","20","234","3919683","16750.8"
"327","わーくすここ・から","30","521","11498508","22070.1"
"328","墨田さんさんプラザ","60","708","29127350","41140.3"
"329","ルーパス","20","252","1340472","5319.3"
"330","向島七福福祉作業所","20","218","6915049","31720.4"
"331","空行け未来工房","40","204","5983309","29329.9"
"332","ドリーム第２","35","424","6712153","15830.5"
"333","自立センターあけぼの","15","231","1558865","6748.3"
"334","ネットワークゆめ工房","10","113","275280","2436.1"
"335","目黒区立目黒本町福祉工房","50","479","7679169","16031.7"
"336","中町作業所","20","218","2756100","12642.7"
"337","まごめ園","37","448","7502250","16746.1"
"338","大田区立大田福祉作業所","90","968","15025735","15522.5"
"339","大田区立くすのき園","70","938","22190780","23657.5"
"340","大田区立うめのき園","59","639","18833740","29473.8"
"341","大田区立しいのき園","60","645","17464120","27076.2"
"342","大田区立新蒲田福祉センター知的障害者作業室","74","763","10172537","13332.3"
"343","大田区立上池台障害者福祉会館身体障害者作業室","30","344","3280025","9535.0"
"344","大田区立上池台障害者福祉会館知的障害者作業室","30","340","3280025","9647.1"
"345","ハーモニー","20","209","669950","3205.5"
"346","まごの手便","20","298","1384880","4647.2"
"347","アディクションリハビリテーションセンターすとぉりぃ","14","184","3973905","21597.3"
"348","風の谷プロジェクト","20","151","596173","3948.2"
"349","CrazyCats","20","259","860594","3322.8"
"350","世田谷区立梅丘ウッドペッカーの森","14","278","1533170","5515.0"
"351","みどり工房","30","282","2023838","7176.7"
"352","中野区仲町就労支援事業所","21","294","5257845","17883.8"
"353","すばるカンパニー","32","543","10160710","18712.2"
"354","済美職業実習所","30","397","6837210","17222.2"
"355","あすなろ作業所","30","447","9312350","20833.0"
"356","ひまわり作業所","12","166","1467082","8837.8"
"357","工房ラルゴ","20","295","1660340","5628.3"
"358","チャレンジ","20","264","7715450","29225.2"
"359","ワークショップ・かたつむり","20","232","4648283","20035.7"
"360","就労継続支援Ｂ型みつばちブンブン","20","290","3871326","13349.4"
"361","ワーク・スペース・ポピー","20","298","2048015","6872.5"
"362","ワークハウスペガサス","20","276","2760000","10000.0"
"363","第二ワークハウスペガサス","25","301","2898500","9629.6"
"364","荒川ひまわり第２","12","247","2743617","11107.8"
"365","町屋あさがお","40","585","7364600","12589.1"
"366","小台橋あさがお","40","577","7888210","13671.1"
"367","東京都板橋区立小茂根福祉園","30","365","5425446","14864.2"
"368","東京都板橋区立高島平福祉園","50","507","5624231","11093.2"
"369","東京都板橋区立赤塚福祉園","40","489","11323383","23156.2"
"370","東京都板橋区立徳丸福祉園","40","428","4382253","10238.9"
"371","東京都板橋区立加賀福祉園","60","626","7346733","11736.0"
"372","東京都板橋区立蓮根福祉園","60","708","5867712","8287.7"
"373","東京都板橋区立前野福祉園","30","358","6322885","17661.7"
"374","こもね作業所","20","323","2512700","7779.3"
"375","おおやま福祉作業所","20","288","8273270","28726.6"
"376","まえの福祉作業所","14","190","4527457","23828.7"
"377","ひあしんす城北","30","484","1669410","3449.2"
"378","はすね福祉作業所","24","186","2532240","13614.2"
"379","とくまる福祉作業所","14","207","2814570","13597.0"
"380","ユニバースショップ","20","213","2337616","10974.7"
"381","大泉学園実習ホーム","30","276","1406400","5095.7"
"382","コスモス会","20","280","882650","3152.3"
"383","ベルの会共同作業所","20","388","1662350","4284.4"
"384","保木間作業所","20","223","3818808","17124.7"
"385","諏訪木作業所","20","284","3131810","11027.5"
"386","葛飾しょうぶ園","54","679","6608700","9733.0"
"387","白鳥福祉館","15","168","1769680","10533.8"
"388","西水元福祉館","40","564","5828934","10335.0"
"389","高砂福祉館","20","240","6718800","27995.0"
"390","きね川福祉作業所","40","565","13625120","24115.3"
"391","青戸しょうぶ","40","476","14137670","29701.0"
"392","由木工房","21","246","5867134","23850.1"
"393","ワークポート","30","621","9106208","14663.8"
"394","レストランあさかわ","20","203","7420701","36555.2"
"395","パン工房「うさぎとかめ」","12","131","1001210","7642.8"
"396","オープンスペース本郷町","24","502","5790961","11535.8"
"397","立川福祉作業所","35","478","6546162","13694.9"
"398","グループいもっこ","20","204","2406458","11796.4"
"399","立川けやき福祉作業所","14","137","5233009","38197.1"
"400","ワークセンターけやき","20","230","6091568","26485.1"
"401","リビングハウスマム","20","185","913575","4938.2"
"402","すきっぷ","12","96","993630","10350.0"
"403","作業所スクラム","20","257","3565720","13874.4"
"404","社会福祉法人府中市社会福祉協議会「は～もにぃ」","20","196","7134030","36398.1"
"405","集いの家","20","294","3782990","12867.3"
"406","むさし結いの家","10","129","1628005","12620.2"
"407","通所作業所こまくさ工房","20","128","755500","5902.3"
"408","ぷーやんあしながくらぶ２号館","34","456","9903194","21717.5"
"409","旭出調布福祉作業所","52","647","10728608","16582.1"
"410","ぴいす","30","233","2559680","10985.8"
"411","町田リス園","20","252","11048297","43842.4"
"412","こころみ","20","208","2616750","12580.5"
"413","ワークショップ七国山","20","196","4652700","23738.3"
"414","喫茶けやき","20","179","5895900","32938.0"
"415","きぼう","40","493","6413950","13010.0"
"416","共同作業所希望の家","20","204","1914620","9385.0"
"417","食事サービスセンターなごみ","20","221","4060725","18374.3"
"418","バウム","20","278","3974797","14297.8"
"419","エッグドーム・スローワールド","10","94","2019610","21485.2"
"420","える・ぽいん","20","267","2268452","8496.1"
"421","コミュニティルーム友訪","20","341","1336168","3918.4"
"422","ライブリィ工房","20","246","1907817","7755.4"
"423","セルプ清瀬","50","626","10094581","16125.5"
"424","清瀬福祉作業所","20","228","2490672","10924.0"
"425","久留米リカバリーハウス","14","242","2755318","11385.6"
"426","第二どんぐりの家","30","533","7680210","14409.4"
"427","スペース・まどか","30","411","4485759","10914.3"
"428","ちいろばの家","20","215","10950076","50930.6"
"429","やまぐちや","14","229","893564","3902.0"
"430","ひのきのその","20","324","6272949","19361.0"
"431","ちょんこめ作業所","10","129","5227921","40526.5"
