"","施設総数","１いる／施設数","１いる／割合","２いない／施設数","２いない／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","574","36.1","976","61.5","38","2.4"
"認証保育所＊","527","150","28.5","368","69.8","9","1.7"
"認定こども園＊","95","22","23.2","73","76.8","",""
"幼稚園＊","666","79","11.9","581","87.2","6","0.9"
"ベビーホテル","331","44","13.3","286","86.4","1","0.3"
"家庭的保育","596","31","5.2","559","93.8","6","1.0"
"学童保育","1169","69","5.9","1085","92.8","15","1.3"
"上記以外の施設","376","45","12.0","322","85.6","9","2.4"
"総数","5348","1014","19.0","4250","79.5","84","1.6"
"＊前回調査施設 (再掲）","2876","825","28.7","1998","69.5","53","1.8"
