"","前期／1群","前期／2群","前期／3群","後期／1群","後期／2群","後期／3群"
"一秒量（ｌ/年）","","","","","",""
"一秒率（％/年）","","","","","",""
"Ｖ25（ｌ/ｓ/年）","","","","","",""
