"","男性／総数","男性／20-29歳","男性／30-39歳","男性／40-49歳","男性／50-59歳","男性／60-69歳","男性／70歳以上","女性／総数","女性／20-29歳","女性／30-39歳","女性／40-49歳","女性／50-59歳","女性／60-69歳","女性／70歳以上"
"人数(人)","110","14","18","22","22","18","16","97","11","8","26","15","22","15"
"主食(%)","24.5","21.4","27.8","13.6","27.3","27.8","31.3","23.7","18.2","37.5","19.2","13.3","31.8","26.7"
"主菜(%)","21.8","21.4","16.7","13.6","36.4","27.8","12.5","20.6","0.0","12.5","26.9","53.3","13.6","6.7"
"副菜(%)","68.2","71.4","72.2","81.8","68.2","55.6","56.3","67.0","81.8","62.5","73.1","66.7","54.5","66.7"
