"","正規職員(%)","有期契約職員フルタイム(%)","有期契約職員パートタイム(%)","無回答(%)","サンプル数"
"TOTAL","50.1","13.4","28.8","7.6","2871"
"区部","53.7","14.3","30.9","","1332"
"市部","57.8","11.8","27.3","3.2","902"
"町村部","56.5","17.4","26.1","","23"
"島しょ部","42.9","14.3","28.6","14.3","7"
"東京都以外","41.8","19.7","35.3","3.1","416"
