"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","7.7","47.4","36.5","8.1","0.3"
"19","9.1","46.9","36.1","7.5","0.5"
"14","7.5","38.7","42.8","10.3","0.7"
"9","5.6","38.2","41.5","14.6","0.1"
