"食品群別","摂取量(g)","エネルギー(kcal)","たんぱく質(g)","脂質(g)","炭水化物(g)","食塩相当量(g)","カリウム(mg)","カルシウム(mg)","鉄(mg)","ビタミンA(ugRE)","ビタミンB1(mg)","ビタミンB2(mg)","ナイアシン(mgNE)","ビタミンＣ(mg)","食物繊維／総量(g)","食物繊維／水溶性(g)","食物繊維／不溶性(g)","コレステロール(mg)","マグネシウム(mg)","リン(mg)","銅(mg)"
"その他の野菜","158.30","37","1.50","0.30","8.30","0.00","239","40","0.40","8","0.05","0.03","0.30","17","2.70","0.80","1.90","0","16","41","0.07"
"キャベツ","27.00","6","0.30","0.10","1.30","0.00","39","11","0.10","1","0.01","0.01","0.00","8","0.50","0.10","0.40","0","3","6","0.01"
"きゅうり","9.20","1","0.10","0.00","0.30","0.00","18","2","0.00","3","0.00","0.00","0.00","1","0.10","0.00","0.10","0","1","3","0.01"
"大根","23.10","4","0.10","0.00","0.90","0.00","48","6","0.10","0","0.00","0.00","0.00","2","0.30","0.10","0.20","0","2","3","0.00"
"たまねぎ","35.00","10","0.30","0.00","2.30","0.00","36","6","0.10","0","0.01","0.00","0.00","2","0.50","0.20","0.30","0","2","8","0.02"
"はくさい","15.30","2","0.10","0.00","0.30","0.00","20","5","0.00","1","0.00","0.00","0.00","1","0.20","0.00","0.10","0","1","4","0.00"
"その他の淡色野菜","48.80","15","0.70","0.20","3.20","0.00","79","11","0.20","3","0.02","0.02","0.10","3","1.10","0.20","0.80","0","7","17","0.03"
"野菜ジュース","14.80","5","0.10","0.00","1.20","0.00","29","6","0.10","43","0.00","0.00","0.10","1","0.10","0.10","0.00","0","1","3","0.01"
"漬け物","11.90","5","0.20","0.00","1.00","0.50","41","6","0.10","2","0.01","0.01","0.10","2","0.30","0.10","0.20","0","4","7","0.01"
"葉類漬け物","3.40","1","0.10","0.00","0.20","0.10","11","2","0.00","2","0.00","0.00","0.00","1","0.10","0.00","0.10","0","1","2","0.00"
"たくあん･その他の漬け物","8.50","3","0.10","0.00","0.70","0.40","30","4","0.10","0","0.01","0.00","0.10","1","0.20","0.10","0.20","0","3","5","0.01"
"果実類","107.30","66","0.60","0.40","16.90","0.00","197","10","0.20","28","0.05","0.03","0.30","31","1.30","0.30","1.00","0","12","17","0.05"
"生果","91.70","57","0.60","0.30","14.50","0.00","179","9","0.20","27","0.04","0.02","0.30","28","1.30","0.30","1.00","0","11","15","0.05"
"いちご","0.00","0","0.00","0.00","0.00","0.00","0","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0.00"
"柑橘類","20.00","9","0.10","0.00","2.40","0.00","30","4","0.00","17","0.02","0.01","0.10","6","0.20","0.10","0.10","0","2","3","0.01"
"バナナ","16.00","14","0.20","0.00","3.60","0.00","57","1","0.00","1","0.01","0.01","0.10","3","0.20","0.00","0.20","0","5","4","0.01"
"りんご","18.00","10","0.00","0.00","2.60","0.00","20","1","0.00","0","0.00","0.00","0.00","1","0.30","0.10","0.20","0","1","2","0.01"
"その他の生果","37.80","24","0.20","0.30","5.90","0.00","72","4","0.10","9","0.01","0.01","0.10","18","0.70","0.10","0.50","0","3","6","0.02"
"ジャム","1.40","3","0.00","0.00","0.80","0.00","1","0","0.00","0","0.00","0.00","0.00","0","0.00","0.00","0.00","0","0","0","0.00"
"果汁･果汁飲料","14.10","6","0.10","0.00","1.60","0.00","17","1","0.00","0","0.01","0.00","0.00","3","0.00","0.00","0.00","0","1","2","0.00"
"きのこ類","13.30","3","0.30","0.00","0.90","0.00","32","0","0.10","0","0.01","0.02","0.50","0","0.60","0.00","0.50","0","1","10","0.01"
"藻類","10.30","3","0.40","0.00","0.90","0.20","61","11","0.20","13","0.01","0.02","0.10","1","0.60","0.00","0.00","0","10","6","0.00"
"魚介類","67.40","104","12.80","4.80","1.20","0.60","186","31","0.70","16","0.06","0.10","3.80","1","0.00","0.00","0.00","61","21","152","0.09"
"生魚介類","39.70","57","7.50","2.60","0.10","0.10","119","10","0.40","9","0.03","0.06","2.40","0","0.00","0.00","0.00","37","13","84","0.06"
"あじ､いわし類","9.00","19","1.80","1.20","0.00","0.00","23","3","0.10","1","0.00","0.02","0.70","0","0.00","0.00","0.00","6","2","18","0.01"
"さけ､ます","5.90","10","1.20","0.50","0.00","0.00","20","1","0.00","2","0.01","0.01","0.40","0","0.00","0.00","0.00","4","2","14","0.00"
"たい､かれい類","3.60","4","0.60","0.10","0.00","0.00","12","1","0.00","0","0.00","0.00","0.10","0","0.00","0.00","0.00","3","1","7","0.00"
"まぐろ､かじき類","5.40","8","1.20","0.30","0.00","0.00","21","0","0.10","1","0.00","0.00","0.70","0","0.00","0.00","0.00","3","2","15","0.00"
"その他の生魚","5.10","9","1.00","0.50","0.00","0.00","18","1","0.00","3","0.01","0.01","0.30","0","0.00","0.00","0.00","3","1","9","0.00"
