"","16年度","17年度","18年度","19年度","20年度","21年度"
"認可保育所(人)","1609","901","1741","2450","1745","2632"
"認証保育所(人)","1871","1872","1636","1449","1593","1438"
"待機児童数(人)","5223","5221","4908","4601","5479","7939"
