"","平成26年度(人数)","平成26年度(％)"
"総数（ｎ＝3368）","563","16.7"
"男子（ｎ＝1592）","310","19.5"
"女子（ｎ＝1556）","218","14.0"
"性別無回答（ｎ＝220）","35","15.9"
"無回答","67",""
