"","保育園数"
"表示を確認","95"
"対応食を先に調理","93"
"声出し確認","92"
"チェック表を活用","67"
"マニュアルを活用","40"
"専用調理器具を使用","26"
"専任調理員が調理","23"
"調理場所を区別","13"
