"","企業数(社)","実雇用率(%)","法定雇用率達成企業数(社)","構成比(%)","法定雇用率未達成企業数(社)","構成比(%)",
"50~299","13998","1.05","4273","30.5","9725","69.5",
"300~999","3187","1.70","1122","35.2","2065","64.8",
"1000~","1455","2.09","789","54.2","666","45.8",
"合計","18640","1.84","6184","33.2","12456","66.8",
