"","平成21年","平成22年","平成23年","平成26年","平成27年"
"総数(%)","22.6","17.2","13","6.8","4.9"
"男性(%)","27.3","21.7","14.8","7.7","4.7"
"女性(%)","11.5","5.7","8.1","4.5","5.6"
