"","平成22年","平成23年","平成24年","平成25年","平成26年","平成27年","平成28年"
"合計(人)","126903.5","135469.0","141453.5","149245.0","157884.5","165978.0","173570.0"
"精神障害者(人)","4083.5","5312.5","6685.5","8929.5","11097.5","13558.5","16410.0"
"知的障害者(人)","17507.0","20077.5","21913.5","24148.5","26803.0","29361.0","31712.0"
"身体障害者(人)","105313.0","110079.0","112854.5","116167.0","119984.0","123058.5","125448.0"
"雇用率(％)","1.63","1.61","1.66","1.72","1.77","1.81","1.84"
