"","今後も保育士として働き続けたい(%)","今後は保育士を辞め保育士以外の職種で働きたい(%)","今後は保育士を辞め働かないつもりだ(%)","無回答(%)","サンプル数"
"TOTAL","78.7","16.0","","3.2","8214"
"女性計","79.1","15.7","","3.1","7526"
"女性２０代","73.2","22.0","","","3297"
"女性３０代","79.0","16.1","","3.0","1612"
"女性４０代","87.1","9.1","","","1560"
"女性５０代以上","85.6","5.1","4.3","5.1","1005"
"男性計","72.9","23.4","","","380"
"男性２０代","70.8","24.6","","3.6","281"
"男性３０代以上","78.8","20.2","","","99"
