"条件","使用水","つけ置き※１","洗浄用具"
"（ア）","冷水","なし","スポンジ"
"（イ）","冷水","なし","研磨剤入り不織布"
"（ウ）","冷水","なし","メラミンスポンジ"
"（エ）","温水※２","なし","スポンジ"
"（オ）","温水※２","なし","研磨剤入り不織布"
"（カ）","温水※２","なし","メラミンスポンジ"
"（キ）","温水※２","温水のみ","スポンジ"
"（ク）","温水※２","温水のみ","研磨剤入り不織布"
"（ケ）","温水※２","温水のみ","メラミンスポンジ"
"（コ）","温水※２","弱アルカリ性洗剤溶液※３","スポンジ"
"（サ）","温水※２","弱アルカリ性洗剤溶液※３","研磨剤入り不織布"
"（シ）","温水※２","弱アルカリ性洗剤溶液※３","メラミンスポンジ"
"（ス）","温水※２","重曹飽和溶液","スポンジ"
"（セ）","温水※２","次亜塩素酸Na水溶液※４","スポンジ"
