"","施設総数","１給食（昼食や夕食）／施設数","１給食（昼食や夕食）／割合","２補食／施設数","２補食／割合","３おやつ／施設数","３おやつ／割合","４提供していない／施設数","４提供していない／割合","無回答／施設数","無回答／割合","再掲／給食・補食・おやつのいずれかを提供／施設数","再掲／給食・補食・おやつのいずれかを提供／割合","再掲／給食は出さず、補食かおやつを提供／施設数","再掲／給食は出さず、補食かおやつを提供／割合"
"認可保育所＊","1588","1575","99.2","1256","79.1","1550","97.6","1","0.1","8","0.5","1579","99.4","4","0.3"
"認証保育所＊","527","526","99.8","403","76.5","519","98.5","","","1","0.2","526","99.8","",""
"認定こども園＊","95","93","97.9","44","46.3","88","92.6","","","","","95","100.0","2","2.1"
"幼稚園＊","666","381","57.2","40","6.0","408","61.3","134","20.1","4","0.6","528","79.3","147","22.1"
"ベビーホテル","331","246","74.3","83","25.1","257","77.6","57","17.2","3","0.9","271","81.9","25","7.6"
"家庭的保育","596","142","23.8","51","8.6","194","32.6","370","62.1","13","2.2","213","35.7","71","11.9"
"学童保育","1169","122","10.4","68","5.8","1114","95.3","42","3.6","9","0.8","1118","95.6","996","85.2"
"上記以外の施設","376","251","66.8","95","25.3","288","76.6","67","17.8","5","1.3","304","80.9","53","14.1"
"総数","5348","3336","62.4","2040","38.1","4418","82.6","671","12.5","43","0.8","4634","86.6","1298","24.3"
"＊前回調査施設 (再掲）","2876","2575","89.5","1743","60.6","2565","89.2","135","4.7","13","0.5","2728","94.9","153","5.3" 
