"区市町村名","平成27年4月1日／就学前児童人口","平成27年4月1日／保育サービス利用児童数","平成27年4月1日／保育サービス利用児童数／就学前児童人口比率(%)","平成27年4月1日／待機児童数","平成26年4月1日／就学前児童人口","平成26年4月1日／保育サービス利用児童数","平成26年4月1日／保育サービス利用児童数／就学前児童人口比率(%)","平成26年4月1日／待機児童数","増減／就学前児童人口","増減／保育サービス利用児童数","増減／保育サービス利用児童数／就学前児童人口比率(%)","増減／待機児童数"
"千代田区","3025","1200","39.7","0","2663","1018","38.2","0","362","182","1.5","0"
"中央区","8445","3630","43.0","119","7770","3202","41.2","135","675","428","1.8","-16"
"港区","13789","5615","40.7","30","13042","4844","37.1","45","747","771","3.6","-15"
"新宿区","11874","5253","44.2","168","11545","4976","43.1","152","329","277","1.1","16"
"文京区","10326","3679","35.6","69","10035","3348","33.4","104","291","331","2.2","-35"
"台東区","7327","2781","38.0","170","7091","2582","36.4","126","236","199","1.6","44"
"墨田区","11366","5342","47.0","76","11111","5015","45.1","157","255","327","1.9","-81"
"江東区","26404","11491","43.5","167","25763","10609","41.2","315","641","882","2.3","-148"
"品川区","18359","8007","43.6","215","17879","7483","41.9","128","480","524","1.7","87"
"目黒区","12581","4225","33.6","294","12051","3908","32.4","247","530","317","1.2","47"
"大田区","32202","12096","37.6","154","31909","11399","35.7","613","293","697","1.9","-459"
"世田谷区","43365","14051","32.4","1182","42445","13092","30.8","1109","920","959","1.6","73"
"渋谷区","9623","3689","38.3","252","9235","3473","37.6","120","388","216","0.7","132"
"中野区","12224","4811","39.4","172","11816","4398","37.2","241","408","413","2.2","-69"
"杉並区","23504","8605","36.6","42","22953","7675","33.4","116","551","930","3.2","-74"
"豊島区","10253","4377","42.7","209","9944","3990","40.1","240","309","387","2.6","-31"
"北区","14272","6393","44.8","160","13748","6039","43.9","69","524","354","0.9","91"
"荒川区","9789","4767","48.7","48","9708","4563","47.0","8","81","204","1.7","40"
"板橋区","24714","10635","43.0","378","24615","10110","41.1","515","99","525","1.9","-137"
"練馬区","34765","12598","36.2","176","34867","11814","33.9","487","-102","784","2.3","-311"
"足立区","31958","11941","37.4","322","32267","11828","36.7","330","-309","113","0.7","-8"
"葛飾区","21060","9447","44.9","252","21070","9054","43.0","111","-10","393","1.9","141"
"江戸川区","35262","11260","31.9","347","35809","11260","31.4","298","-547","0","0.5","49"
"八王子市","25495","11209","44.0","144","26218","10995","41.9","231","-723","214","2.1","-87"
"立川市","8658","3634","42.0","183","8760","3673","41.9","95","-102","-39","0.1","88"
"武蔵野市","6931","2399","34.6","127","6719","2120","31.6","208","212","279","3.0","-81"
"三鷹市","9245","3294","35.6","209","8959","3095","34.5","179","286","199","1.1","30"
"青梅市","5724","3206","56.0","20","5882","3219","54.7","29","-158","-13","1.3","-9"
"府中市","13796","5167","37.5","352","13859","5021","36.2","233","-63","146","1.3","119"
"昭島市","5581","2587","46.4","51","5634","2585","45.9","65","-53","2","0.5","-14"
"調布市","11635","4352","37.4","296","11678","4154","35.6","288","-43","198","1.8","8"
"町田市","20295","6996","34.5","153","20840","6815","32.7","203","-545","181","1.8","-50"
"小金井市","5754","1923","33.4","164","5721","1793","31.3","257","33","130","2.1","-93"
"小平市","9791","3345","34.2","178","9748","3063","31.4","167","43","282","2.8","11"
"日野市","9277","3752","40.4","164","9198","3583","39.0","188","79","169","1.4","-24"
"東村山市","7154","2533","35.4","32","7519","2548","33.9","97","-365","-15","1.5","-65"
"国分寺市","5624","2223","39.5","88","5664","2141","37.8","77","-40","82","1.7","11"
"国立市","3343","1331","39.8","99","3307","1283","38.8","34","36","48","1.0","65"
"福生市","2420","1373","56.7","6","2506","1344","53.6","5","-86","29","3.1","1"
"狛江市","3759","1343","35.7","175","3545","1225","34.6","99","214","118","1.1","76"
"東大和市","4531","2082","46.0","4","4566","2023","44.3","14","-35","59","1.7","-10"
"清瀬市","3445","1281","37.2","45","3457","1321","38.2","40","-12","-40","-1.0","5"
"東久留米市","5532","2082","37.6","87","5498","2022","36.8","84","34","60","0.8","3"
"武蔵村山市","3716","1935","52.1","11","3921","1972","50.3","21","-205","-37","1.8","-10"
"多摩市","6897","2955","42.8","49","7036","2796","39.7","116","-139","159","3.1","-67"
"稲城市","4962","1991","40.1","0","5073","1884","37.1","33","-111","107","3.0","-33"
"羽村市","2806","1376","49.0","0","2880","1382","48.0","3","-74","-6","1.0","-3"
"あきる野市","3976","1822","45.8","12","4064","1823","44.9","31","-88","-1","0.9","-19"
"西東京市","9713","3316","34.1","143","9827","3231","32.9","193","-114","85","1.2","-50"
"瑞穂町","1417","739","52.2","20","1444","708","49.0","7","-27","31","3.2","13"
"日の出町","986","550","55.8","0","1012","558","55.1","9","-26","-8","0.7","-9"
"檜原村","63","44","69.8","0","65","47","72.3","0","-2","-3","-2.5","0"
"奥多摩町","104","84","80.8","0","109","85","78.0","0","-5","-1","2.8","0"
"大島町","357","263","73.7","0","367","255","69.5","0","-10","8","4.2","0"
"利島村","24","13","54.2","0","23","17","73.9","0","1","-4","-19.7","0"
"新島村","123","68","55.3","0","113","54","47.8","0","10","14","7.5","0"
"神津島村","105","59","56.2","0","116","51","44.0","0","-11","8","12.2","0"
"三宅村","104","55","52.9","0","108","53","49.1","0","-4","2","3.8","0"
"御蔵島村","32","13","40.6","0","31","10","32.3","0","1","3","8.3","0"
"八丈町","338","156","46.2","0","329","210","63.8","0","9","-54","-17.6","0"
"青ヶ島村","6","4","66.7","0","4","3","75.0","0","2","1","-8.3","0"
"小笠原村","213","65","30.5","0","211","69","32.7","0","2","-4","-2.2","0"
"合計","630419","247513","39.3","7814","625347","234911","37.6","8672","5072","12602","1.7","-858"
