"","エネルギー","たんぱく質","脂質","食塩相当量","カリウム","カルシウム","鉄","食物繊維"
"穀類(%)","38.6","","","","","","",""
"いも類(%)","","","","","","","",""
"砂糖・甘味料類(%)","","","","","","","",""
"豆類(%)","","","","","","","",""
"種実類(%)","","","","","","","",""
"野菜類(%)","","","","","23.2","","14.4","36.3"
"果実類(%)","","","","","","","",""
"きのこ類(%)","","","","","","","",""
"海藻類(%)","","","","","","","",""
"魚介類(%)","","","","","","","",""
"肉類(%)","","21.9","24.6","","","","",""
"卵類(%)","","","","","","","",""
"乳類(%)","","","","","","35.9","",""
"油脂類(%)","","","","","","","",""
"菓子類(%)","","","","","","","",""
"嗜好飲料類(%)","","","","","","","",""
"調味料・香辛料類(%)","","","","65.3","","","",""
"栄養素調整調味料類およびその他の加工食品等(%)","","","","","","","",""
