"","年度","総計","牛","牛／肉用種※1","牛／乳用種※2","こ牛※3","馬","豚","めん羊","山羊"
"都内","26","321116","98997","98747","250","1","0","222100","0","18"
"都内","27","303059","93275","93185","90","3","0","209778","0","3"
"都内","28","289112","88309","87690","619","0","0","200798","0","5"
"管内と畜場","芝浦","289105","88307","87690","617","0","0","200798","0","0"
"管内と畜場","新島","0","","","","0","","0","0","0"
"管内と畜場","八丈町","7","2","0","2","0","0","0","0","5"
"搬入枝肉※4","","49384.0","41993.5","26530.5","15463.0","205.5","2.0","7183.0","0","0"
