"","昭和59年(人)","平成元年(人)","平成6年(人)","平成11年(人)","平成16年(人)","平成21年(人)","平成26年(人)"
"就学前児童人口","765597","678593","573903","569264","587675","594272","625347"
"認証保育所","","","","","4591","13428","22608"
"認可保育所","148953","137174","130993","142576","157163","167938","202008"
"幼稚園","195410","187292","169084","168779","179026","172019","170673"
