"","認可保育所","認可外保育施設","幼稚園","家庭等"
"4歳以上","65424","273","128422","1520"
"3歳","31653","479","50604","17146"
"2歳","27820","2232","","68010"
"1歳","22134","2854","","74485"
"0歳","10132","1939","","82548"
