"","平成７年(千人)","平成12年(千人)","平成17年(千人)","平成22年(千人)","平成27年(千人)","平成32年(千人)"
"全国","125570","126926","127708","127473","126266","124107"
"東京都","11774","12064","12577","12699","12704","12591"
