"","通って（来てもらって）いない(％)","週に１日(％)","週に２日(％)","週に３日(％)","週に４日以上(％)","無回答(％)"
"全体","47.1","12.5","23.3","11.7","4.1","1.4"
"困窮層","61.3","8.0","18.6","6.6","4.4","1.1"
"周辺層","53.6","11.5","15.1","13.2","4.6","2.2"
"一般層","44.9","12.3","24.6","13.0","4.0","1.2"
