"","理想(%)","現実(%)"
"0:10","0.2","0.1"
"1:9","0.1","0.2"
"2:8","0.2","0.5"
"3:7","0.9","0.7"
"4:6","1.2","0.5"
"5:5","20.7","4.5"
"6:4","30.5","7.8"
"7:3","28.7","17.7"
"8:2","11.2","29.9"
"9:1","2.2","29.7"
"10:0","0.3","4.7"
"無回答","3.7","3.7"
