"","S52(人)","S57(人)","S62(人)","H4(人)","H9(人)","H14(人)","H17(人)"
"20～24歳","0.75","0.50","0.72","0.69","0.68","0.96","0.84"
"25～29歳","1.36","1.28","1.32","1.09","0.95","0.85","1.08"
"30～34歳","1.99","1.99","1.98","1.76","1.61","1.52","1.47"
"35～39歳","2.16","2.16","2.14","2.15","2.06","1.90","1.85"
"40～44歳","2.18","2.21","2.18","2.16","2.18","2.17","2.00"
