"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","10.4","5.1","1.9","4.1","4.9","6.8","9.5","13.5","17.9","19.9","23.5"
"1～2歳","4","5.3","2.8","1.8","2.2","2.6","4","5.4","6.7","7.8","8.2","8.5"
"3～5歳","5","7","3","4.5","4.7","5","5.7","6.2","6.5","9.9","11","11.9"
"6～7歳","6","8","1.9","6.3","6.4","6.6","6.9","7.2","8.4","10.2","10.8","11.4"
"8～9歳","3","9","1.1","8.1","8.1","8.2","8.5","8.9","9.5","9.9","10","10.1"
"10～11歳","5","9.4","4.4","5.1","5.3","5.6","6.5","8.9","10.4","13.9","15.1","16.1"
"12～14歳","8","10.5","3.2","7.4","7.7","8.1","8.8","9.5","11.1","13.4","15.5","17.2"
"15～17歳","6","12","3.5","6.5","7.2","8.1","10.5","12.8","13.7","15.2","15.9","16.4"
"18～29歳","20","12.3","5","4.9","5.4","5.8","8.3","12.3","17.4","18.8","19.4","20.8"
"30～49歳","42","10.1","4.8","3","4.1","4.3","6.4","10.6","12.1","16.2","18.5","22.2"
"50～69歳","60","10.7","5.3","3.7","4.7","5.2","7.2","9.4","13.8","19.4","20.1","24"
"70歳以上","46","10.6","5.9","1.3","2.2","4.2","7","9.5","13.7","18.9","21.6","26.5"
"女性総数","228","8.9","4.4","1.2","2.9","4","5.8","8.4","11.2","14","17.2","23.3"
"1～2歳","3","6.2","3.9","2.9","3.1","3.4","4.1","5.4","7.9","9.5","10","10.4"
"3～5歳","2","8.4","3.7","5.9","6.1","6.4","7.1","8.4","9.7","10.5","10.8","11"
"6～7歳","6","6.8","1.5","4.8","5","5.2","5.9","6.6","8","8.5","8.6","8.7"
"8～9歳","4","6.4","1.5","4.3","4.6","5.1","6.3","7.1","7.2","7.3","7.3","7.3"
"10～11歳","1","9.5","0","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5","9.5"
"12～14歳","8","9.6","2.4","6.1","6.8","7.6","8.6","8.9","11.3","12.2","12.9","13.4"
"15～17歳","7","11.4","3.4","7.7","7.9","8.2","8.6","11.9","12.8","14.6","15.9","17"
"18～29歳","17","8.1","5.2","3","3.2","3.9","5.5","6.6","8.9","12.4","17.1","23.3"
"30～49歳","60","9.5","4.4","2.9","3.8","4.3","6.7","8.6","11.5","16.8","18.1","20.4"
"50～69歳","71","8.9","4.2","1","2.9","4.1","5.8","8.5","11.4","14.1","16.2","19.1"
"70歳以上","49","8.6","5.1","0.8","2.1","3.5","5.4","8.3","10.8","13.6","19.2","24.2"
"(再掲)妊婦","1","18.5","0","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5","18.5"
"授乳婦","1","6.1","0","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1"
