"","ない(金銭的な理由)(％)","ない(時間の制約)(％)"
"海水浴に行く","4.0","21.0"
"博物館・科学館・美術館などに行く","2.7","16.0"
"キャンプやバーベキューに行く","4.1","19.9"
"スポーツ観戦や劇場に行く","5.1","13.4"
"遊園地やテーマパークに行く","6.2","12.7"
