"","現在困っていること(%)","当時困ったこと(%)"
"子どもの教育・進路・就職","40.7","24.9"
"家事","7.7","10.6"
"住居","24.0","37.5"
"仕事","31.8","49.6"
"家計","55.1","67.6"
