"","H24.4","H25.4","H26.4","H27.4","H28.4"
"合計(人)","7257","8117","8672","7814","8466"
"3歳以上児(人)","714","906","774","503","462"
"0～2歳児(人)","6543","7211","7898","7311","8004"
"合計／対前年増減(人)","","860","555","-858","652"
