"","一般労働者（男性）(万円)","パート労働者（男性）(万円)","一般労働者（女性）(万円)","パート労働者（女性）(万円)"
"18～19歳","243","71","208","68"
"20～24歳","314","99","280","103"
"25～29歳","400","143","337","130"
"30～34歳","489","152","372","122"
"35～39歳","577","159","395","119"
"40～44歳","637","158","392","119"
"45～49歳","671","166","377","121"
"50～54歳","666","178","368","123"
"55～59歳","634","180","356","128"
