"","割合(%)"
"専門（専修）学校の保育士養成課程","23.3"
"短期大学の保育士養成課程","33.8"
"大学の保育士養成課程","16.0"
"その他の養成施設の保育士養成課程",""
"通信教育等で学んだ後、保育士試験","24.9"
"無回答",""
