"","診断有／人数","診断有／割合"
"誤食ありの人数","142","100.0"
"誤食ありの人数／自宅","98","69.0"
"誤食ありの人数／保育施設等","10","7.0"
"誤食ありの人数／親戚・友人宅","32","22.5"
"誤食ありの人数／レストラン等の外食先","48","33.8"
"誤食ありの人数／その他の場所","8","5.6"
"誤食ありの人数／無回答","0","0.0" 
