"水害の危険性が高まる前","場所選択１（水害の危険が高まっている時）","場所選択２","場所選択３","当日夜","計（人）"
"職場（５人）","職場","職場","職場","職場","4"
"職場（５人）","自宅","職場","職場","自宅","1"
"外出先（１人）","外出先（学校に授業参観に来て帰れなくなり、そのまま待機）","外出先（学校に授業参観に来て帰れなくなり、そのまま待機）","外出先（学校に授業参観に来て帰れなくなり、そのまま待機）","外出先（学校に授業参観に来て帰れなくなり、そのまま待機）","1"
"病院（１人）","退院して自宅に帰るはずが帰れず","退院して自宅に帰るはずが帰れず","退院して自宅に帰るはずが帰れず","実家","1"
