"","総数","フランス語","ポルトガル語","ロシア語","ベトナム語","ドイツ語","タガログ語","ミャンマー語","イタリア語","ネパール語","ベンガル語","その他","現状の対応言語でよい"
"総数／n","280","45","37","37","36","31","25","22","19","17","5","18","153"
"総数／%","","16.1","13.2","13.2","12.9","11.1","8.9","7.9","6.8","6.1","1.8","6.4","54.6"
"外国人患者の受入体制整備有無別／整備している／n","71","12","14","13","14","6","8","8","2","6","2","8","27"
"外国人患者の受入体制整備有無別／整備している／%","","16.9","19.7","18.3","19.7","8.5","11.3","11.3","2.8","8.5","2.8","11.3","38.0"
"外国人患者の受入体制整備有無別／今後整備する予定／n","29","6","4","6","6","3","1","2","4","3","0","2","13"
"外国人患者の受入体制整備有無別／今後整備する予定／%","","20.7","13.8","20.7","20.7","10.3","3.4","6.9","13.8","10.3","0.0","6.9","44.8"
"外国人患者の受入体制整備有無別／今後整備する予定はない／n","176","27","19","17","16","22","16","12","13","8","3","8","110"
"外国人患者の受入体制整備有無別／今後整備する予定はない／%","","15.3","10.8","9.7","9.1","12.5","9.1","6.8","7.4","4.5","1.7","4.5","62.5"
区市町村,本郷児童館,113-0033,文京区本郷５－３０－８,139.75862,35.71175,JGD2011,03-5689-4570,-
区市町村,谷中児童館,110-0001,台東区谷中５－６－５　谷中防災コミュニティセンター内,139.76668,35.72578,JGD2011,03-3824-4043,-
区市町村,池之端児童館,110-0008,台東区池之端２－３－３,139.76691,35.7149,JGD2011,03-3823-6644,-
区市町村,台東児童館,110-0016,台東区台東１－１１－５,139.77644,35.70124,JGD2011,03-3832-8493,-
区市町村,玉姫児童館,111-0022,台東区清川２－２２－１３,139.80383,35.72741,JGD2011,03-3874-6571,-
区市町村,今戸児童館,111-0024,台東区今戸１－３－６,139.80467,35.71895,JGD2011,03-3876-1656,-
区市町村,千束児童館,111-0031,台東区千束３－２０－６,139.79272,35.72279,JGD2011,03-3874-1714,-
区市町村,松が谷児童館,111-0036,台東区松が谷４－１５－１１,139.78609,35.71857,JGD2011,03-3841-6734,-
区市町村,寿児童館,111-0042,台東区寿１－４－５,139.78996,35.70683,JGD2011,03-3844-8602,-
区市町村,横川コミュニティ会館,130-0003,墨田区横川５－９－１,139.81725,35.70591,JGD2011,03-5608-4500,-
区市町村,外手児童館,130-0004,墨田区本所２－６－９,139.80077,35.70309,JGD2011,03-3621-4531,-
区市町村,東駒形コミュニティ会館,130-0005,墨田区東駒形４－１４－１,139.80779,35.70609,JGD2011,03-3623-1141,-
他の法人,本所賀川記念館児童クラブ,130-0005,墨田区東駒形４－６－２,139.80548,35.70623,JGD2011,03-3622-7811,-
区市町村,江東橋児童館,130-0022,墨田区江東橋１－１５－４,139.80962,35.69584,JGD2011,03-3634-8883,-
区市町村,立川児童館,130-0023,墨田区立川１－５－２,139.79994,35.69039,JGD2011,03-3633-2874,-
区市町村,墨田児童会館,131-0031,墨田区墨田２－３０－１５,139.81886,35.7294,JGD2011,03-3614-7141,-
区市町村,フレンドリープラザ東向島児童館,131-0032,墨田区東向島６－６－１２,139.81963,35.7215,JGD2011,03-3611-2500,-
区市町村,さくら橋コミュニティセンター,131-0033,墨田区向島２－３－８,139.8058,35.71382,JGD2011,03-3623-2181,-
区市町村,梅若橋コミュニティ会館,131-0034,墨田区堤通２－９－１,139.81668,35.73567,JGD2011,03-3616-1101,-
区市町村,八広児童館,131-0041,墨田区八広２－３８－１４,139.82811,35.71611,JGD2011,03-3611-2227,-
区市町村,八広はなみずき児童館,131-0041,墨田区八広４－２７－８,139.8293,35.72468,JGD2011,03-3617-7060,-
区市町村,立花児童館,131-0043,墨田区立花１－２７－９,139.82912,35.70456,JGD2011,03-3619-5781,-
