"","ひとり親世帯（54世帯）(%)","両親世帯（3073世帯）(%)"
"配偶者","0.0","94.6"
"自分や配偶者の親","44.4","56.9"
"配偶者以外の家族や親族","37.0","19.3"
"保育所や幼稚園等の先生","16.7","6.7"
"塾や習い事の先生","7.4","1.7"
"気軽に相談できる友人","37.0","27.7"
"子どもの学校や幼稚園、保育所などを通じて親しくなった人","18.5","7.7"
"職場の人","22.2","37.4"
