"年度","5時間未満(%)","5時間以上6時間未満(%)","6時間以上7時間未満(%)","7時間以上8時間未満(%)","8時間以上9時間未満(%)","9時間以上(%)"
"平成17年","7.3","30.3","32.5","20.1","7.5","2.4"
"平成18年","8.5","31.1","36.0","16.4","6.0","2.0"
"平成19年","8.8","25.9","36.9","18.6","6.3","3.5"
"平成20年","4.8","27.5","38.1","22.7","6.1","0.8"
"平成21年","7.8","28.3","41.7","13.6","7.2","1.4"
"平成22年","8.7","27.8","36.3","19.6","5.9","1.6"
"平成23年","8.9","27.5","36.4","17.8","7.7","1.7"
"平成26年","8.1","33.2","36.5","16.7","3.9","1.5"
"平成27年","7.8","32.6","34.1","19.7","4.1","1.7"
