"","内容／件数","飼い方説明／有り","飼い方説明／有り(%)","飼い方説明／説明書も有り","飼い方説明／説明書も有り(%)","飼い方説明／説明無し","飼い方説明／説明無し(%)","販売先の記録／有り","販売先の記録／有り(%)","販売先の記録／無し","販売先の記録／無し(%)","病気等管理記録／有り","病気等管理記録／有り(%)","病気等管理記録／無し","病気等管理記録／無し(%)","ワクチン接種／有り","ワクチン接種／有り(%)","運動の実施／有り","運動の実施／有り(%)"
"全体（％）","340","204","60","96","28","34","10","154","45","84","25","86","25","254","75","124","36","145","43"
"売買（％）","238","204","86","96","40","34","14","154","65","84","35","63","26","175","74","124","52","99","42"
"貸出（％）","5","","","","","","","","","","","4","80","1","20","4","80","3","60"
"保管（％）","135","","","","","","","","","","","47","35","88","65","","","74","55"
"訓練（％）","17","","","","","","","","","","","9","53","8","47","","","16","94"
"輸出入（％）","6","","","","","","","","","","","2","33","4","67","2","33","3","50"
"美容（％）","208","","","","","","","","","","","62","30","146","70","","","",""
