"","S35","S40","S45","S50","S55","S60","H2","H7","H12","H15"
"就学前児童数","775818","969446","1135117","1164241","912110","750615","651916","566035","574501","586122"
"出生数","164826","225492","229687","186701","139953","126178","103983","96823","100209","98534"
