"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"はい","207","68.5","180","57.1"
"いいえ","95","31.5","131","41.6"
"無記入","","0.0","4","1.3"
"合計","302","100.0","315","100.0"
