"","ある(％)","ない(欲しい)(％)","ない(欲しくない)(％)","無回答(％)"
"小学5年生全体","94.5","3.1","1.8","0.6"
"困窮層","83.3","11.2","3.2","2.3"
"周辺層","94.4","2.8","2.8",""
"一般層","95.5","2.5","1.6","0.5"
"中学2年生全体","95.5","3.2","1.1","0.2"
"困窮層","82.8","13.9","3.3",""
"周辺層","94.1","4.5","0.9","0.6"
"一般層","97.1","2.1","0.5","0.2"
"16-17歳全体","94.5","3.8","1.3","0.3"
"困窮層","80.9","16.8","2.3",""
"周辺層","92.9","6.1","1.1",""
"一般層","96.5","2.0","1.1","0.3"
