"","16年度(人)","17年度(人)","18年度(人)","19年度(人)","20年度(人)"
"合計","3706","3792","3898","3936","3886"
"養育家庭委託児童数","316","349","357","382","374"
"乳児院入所児童数","462","484","505","495","459"
"児童養護施設入所児童数","2928","2959","3036","3059","3053"
