"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"今までに教わったことはない","78","25.8","30","9.5"
"小学校前に教わった","29","9.6","3","1.0"
"小学校で教わった","189","62.6","45","14.3"
"中学校で教わった","","0.0","80","25.4"
"小中学校の両方で教わった","","0.0","151","47.9"
"無記入","6","2.0","6","1.9"
"合計","302","100.0","315","100.0"
