"","第６期／平成２８年度","第６期／平成２９年度","第７期／平成３０年度","第７期／平成３１年度","第７期／平成３２年度"
"前年度基金残高（A）","3307397","3436181","3064964","3223467","3226507"
"償還額（B)","128784","128783","166667","166667","166666"
"貸付・交付額（C）","0","500000","8164","163627","831450"
"貸付・交付額／うち貸付額（D）","0","500000","8164","163627","613610"
"貸付・交付額／うち交付額（E）","","0","","","217840"
"当年度末基金残高（A＋B－C）","3436181","3064964","3223467","3226507","2561723"
