"","メールでのトラブル","チェーンメール","プロフ・ブログ","学校裏サイト","アダルトサイト","出会い系サイト","個人情報の悪用","自殺誘引・犯罪誘引など","アルバイト紹介サイト","ゲームサイト","コミュニティサイト","ヒッキングサイト","ショッピングサイト","その他"
"小学生","72","154","17","15","17","13","14","9","9","55","7","7","17","161"
"中学生","171","614","91","27","75","74","66","19","16","44","38","42","20","135"
"高校生","95","227","97","35","53","62","66","16","19","27","42","38","24","64"
"特別支援","8","12","2","1","4","2","1","1","1","0","2","1","2","4"
"合計","346","1007","207","78","149","151","147","45","45","126","89","88","63","364"
