"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","10.5","4.1","2.6","4.7","5.9","7.6","9.9","12.9","16.1","17.7","20.9"
"1～2歳","4","4.5","3.1","1.3","1.5","1.7","2.4","4.3","6.4","7.4","7.8","8.1"
"3～5歳","5","4.5","1.1","3.3","3.3","3.4","3.5","4.7","5.2","5.5","5.6","5.7"
"6～7歳","6","6.7","1.3","5.6","5.7","5.7","5.8","6.2","7.3","8.3","8.7","9"
"8～9歳","3","7.8","1.6","6.1","6.3","6.5","7.1","8","8.6","9","9.1","9.2"
"10～11歳","5","10","3.9","6.8","6.9","7","7.5","8.6","10.4","14.1","15.3","16.3"
"12～14歳","8","10.6","4.2","4.6","5.9","7.4","9.4","9.8","11.1","15.2","17.1","18.7"
"15～17歳","6","11.2","3.7","7.1","7.3","7.7","8.7","11","12.3","14.9","16.2","17.2"
"18～29歳","20","10.6","3.7","5.2","6.1","7.1","7.9","10","12.6","15.7","16.6","18.9"
"30～49歳","42","10.2","3.8","2.7","4.1","6","7.3","10","12.5","15.4","16.8","18.1"
"50～69歳","60","11.5","3.9","5.3","6.2","7.1","8.9","10.8","13.4","16.5","18.2","21.3"
"70歳以上","46","11.4","4.3","3","5","6.7","8.1","11.5","13.7","15.9","18.3","22.1"
"女性総数","228","9","3.7","3","3.8","4.4","6.3","8.6","11.3","13.7","15","17.4"
"1～2歳","3","3.9","0.8","3.1","3.2","3.2","3.4","3.8","4.3","4.6","4.7","4.7"
"3～5歳","2","6.4","4.1","3.6","3.8","4.1","4.9","6.4","7.8","8.7","9","9.2"
"6～7歳","6","6.7","2.2","3.8","4.1","4.4","5.3","6.6","8.2","9.1","9.5","9.7"
"8～9歳","4","6.6","0.6","5.8","5.9","6","6.2","6.7","7.1","7.1","7.1","7.1"
"10～11歳","1","5.5","0","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5"
"12～14歳","8","10.4","3.5","4.7","5.7","7","8.4","10.6","12.2","13.7","15","16.1"
"15～17歳","7","8.9","2.6","4.6","5.5","6.6","8.3","8.8","9.6","11.3","12.2","13"
"18～29歳","17","8.9","6.1","3.7","4.7","5","6.2","7.5","8.5","13.4","20.5","27.4"
"30～49歳","60","8.8","3.6","3.2","4.2","4.7","6.2","8.2","11.2","14.4","14.9","16.6"
"50～69歳","71","9.6","3.5","3.8","4.2","4.4","6.9","9.6","11.6","13.8","15.7","17.3"
"70歳以上","49","8.9","3.3","1.5","3.5","5.5","6.5","8.5","11.4","13.2","13.8","15.2"
"(再掲)妊婦","1","9.3","0","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3","9.3"
"授乳婦","1","8.5","0","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5"
