"","単身世帯","夫婦のみ世帯","未婚の子と同居","配偶者と離別・死別等した子と同居","子夫婦と同居","その他","不明","合計"
"人数","222","516","932","237","316","244","6","2473"
"構成割合(％)","9.0","20.9","37.7","9.6","12.8","9.9","0.2",""
